__v,_id,courier,courierCode,createdAt,inTransit,isArchived,isDelivered,isReturned,isShipped,method,otn,package,packaging.height,packaging.length,packaging.name,packaging.width,products,weight
0,623d9bb6318ff93b3cf9214c,TIPSA,4000346456,2022-03-25T10:38:46.932Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4ZN81648204725P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bb6f7006f859da7562c""}]",48
0,623d9bba33894f81e59d9ea3,TIPSA,4000346457,2022-03-25T10:38:50.935Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4F3W1648204729P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bba318ff95f8ff92151""}]",56
0,623d9bba45d5460291898771,ENVIALIA,,2022-03-25T10:38:50.231Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,EG9E67U1648203352P1,621621df7a9ce376edf4a631,10,20,Caja pequeña,20,"[{""$oid"":""623d9658c58f3c15483851f4""}]",3.5
0,623d9bbb24b1e9ef42da84bc,TIPSA,4000346458,2022-03-25T10:38:51.911Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4S251648204730P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bbb9a24b5068dc4ae69""}]",48
0,623d9bbe57f54f6c3ddcfdc2,CORREOS,63300050462554501140145,2022-03-25T10:38:54.054Z,FALSE,FALSE,TRUE,FALSE,FALSE,express,P7P4SV91648195413P1,5ee0c9e74697ce0034bf09d1,10,30,SOBRE ACOLCHADO,25,"[{""$oid"":""623d77551f7d7ae986594968""}]",1.2525
0,623d9bc03850574786e8e023,TIPSA,4000346459,2022-03-25T10:38:56.540Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z417V1648204734P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bbf9c4aa049fe24505f""}]",0.668
0,623d9bc0be305fde9df1ce49,SEUR,3030049453733,2022-03-25T10:38:56.463Z,FALSE,FALSE,TRUE,FALSE,FALSE,seur 24,79ZYS7B1648130409P1,5ecfad8582057700347e252c,10,20,Small Box,20,"[{""$oid"":""623c796ac118341627d5cadd""},{""$oid"":""623c796ac11834dcc9d5cade""}]",0.6666666667
0,623d9bc0c58f3c76bb385262,ENVIALIA,,2022-03-25T10:38:56.302Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,X1W6YCB1648204734P1,5eba769e5546c20034a52765,10,20,Small Box,20,"[{""$oid"":""623d9bc0385057e9bfe8e01e""}]",0.668
0,623d9bc0d9c45aef7dbe2ad1,TIPSA,4000346460,2022-03-25T10:38:56.949Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4N9B1648204735P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bc05e1d94830e2ec907""}]",67
0,623d9bc5e88d8b58293d762b,TIPSA,4000346461,2022-03-25T10:39:01.311Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z42KQ1648204739P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bc49c1daa56c271a12a""}]",18
0,623d9bc6887bde7b9b6ac3f8,TIPSA,4000346462,2022-03-25T10:39:02.356Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z41751648204740P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bc5318ff9b352f92156""}]",45
0,623d9bca385057a336e8e028,CORREOS,32300050462548201255878,2022-03-25T10:39:06.583Z,FALSE,FALSE,TRUE,FALSE,FALSE,express,L6WM81E1648122867P1,61b750ce846d2d0035122a84,8,31,Packaging mediano,23,"[{""$oid"":""623c5bf651b1c4ed85a753d6""}]",0.952568
0,623d9bcb1f7d7a7bf7594dca,TIPSA,4000346464,2022-03-25T10:39:07.540Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4KSP1648204745P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bcad9c45a3068be2ad6""}]",0.668
0,623d9bcb45d546ed87898778,INTERNAL,,2022-03-25T10:39:07.158Z,FALSE,FALSE,TRUE,FALSE,FALSE,internal,YX85U211648136883P1,5f893d90a426c70036197c82,12,37,Sobre Macson.es,39,"[{""$oid"":""623d4fd89c4aa00502244a45""},{""$oid"":""623d4fd89c4aa0a329244a44""}]",0.4
0,623d9bcb6baa3944581c5fcd,TIPSA,4000346463,2022-03-25T10:39:07.091Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4UN51648204745P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bca239637c00be1b660""}]",0.668
0,623d9bde385057e483e8e02a,SEUR,3280149453764,2022-03-25T10:39:26.673Z,FALSE,FALSE,TRUE,FALSE,FALSE,seur 24,79ZYX6K1648134004P1,5ecfad8582057700347e252c,10,20,Small Box,20,"[{""$oid"":""623c877494dea17613d230af""},{""$oid"":""623c877494dea12753d230b0""}]",0.6666666667
0,623d9be4318ff967caf9215b,ENVIALIA,,2022-03-25T10:39:32.871Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,X1W6SPM1648204770P1,5eba769e5546c20034a52765,10,20,Small Box,20,"[{""$oid"":""623d9be46baa39faef1c5fd2""}]",0.668
0,623d9be43e43026cb167d6be,TIPSA,4000346465,2022-03-25T10:39:32.864Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z449Q1648204771P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9be4f7a94901c9d02e88""}]",75
0,623d9be4918f3f68e2d62896,TIPSA,4000346466,2022-03-25T10:39:32.858Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4Z9T1648204771P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9be457f54f9bd3dcfdc4""}]",56
0,623d9be95e1d94cfd22ec913,TIPSA,4000346467,2022-03-25T10:39:37.732Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4D821648204776P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9be9f7a94910bcd02e8c""}]",6
0,623d9bea3e430237a167d6c3,TIPSA,4000346468,2022-03-25T10:39:38.411Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4KEJ1648204776P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9be923b493f7ce3c253b""}]",6.28
0,623d9bee57f54f13b9dcfdc9,ups,1Z493EX19136723408,2022-03-25T10:39:42.466Z,FALSE,FALSE,TRUE,TRUE,FALSE,ups standard,79ZYK4K1647970843R1,,10,20,,20,"[{""$oid"":""623a0a1c81479547c338a2c8""}]",0.6666666667
