CODCost,_id,cost,courier,courier_id,createdAt,customCourierCost,customCourierVatCost,deliverDate,estimatedDeliverDate,finalWeight,insuranceCost,isAdjusted,isCompared,isPickUpDone,isPickUpFailed,isReturn,isShipped,method,mrr,otn,packages,pickUpCode,pickupDate,processDate,vatCost,weight
0,623d6dac61b0110ef93b7f90,1,ups,525,2022-03-25T07:22:20.265Z,0.05,0,2022-03-29T13:26:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z415T1648192937S1,"[{""$oid"":""623d6dab61b01186a83b7f8f""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:22.680Z,0,16
0,623d6db045d546fa3b8982cd,0.09,envialia,367,2022-03-25T07:22:24.304Z,0.05,0,2022-03-29T10:45:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6VJ91648192939S1,"[{""$oid"":""623d6dad45d54631358982c8""},{""$oid"":""623d6dae45d54623a78982ca""},{""$oid"":""623d6daf45d5465d768982cc""}]",null,2022-03-25T16:36:00.000Z,2022-03-25T07:22:25.664Z,0,2.004
0,623d6db4f3909fdf52a5dce0,1,ups,525,2022-03-25T07:22:28.975Z,0.05,0,2022-03-30T15:10:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4YU81648192946S1,"[{""$oid"":""623d6db4f3909ffbf7a5dcdf""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:31.783Z,0,3
0,623d6db6dc97494ac3cfa7c0,1,ups,525,2022-03-25T07:22:30.650Z,0.05,0,2022-03-31T11:27:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4H461648192948S1,"[{""$oid"":""623d6db5dc9749a2d7cfa7bf""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:33.094Z,0,0.6666666667
0,623d6dba9c1daa75ae719c6e,11.9,gls,12,2022-03-25T07:22:34.558Z,0.09,0,2022-04-04T13:05:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,standard,null,YGVPXQN1648192728S1,"[{""$oid"":""623d6db99c1daa5dd4719c6d""}]",,2022-03-25T20:39:00.000Z,2022-03-25T07:28:19.359Z,0,0.6666666667
0,623d6dbf24b1e953b9da8055,1,ups,525,2022-03-25T07:22:39.146Z,0.05,0,2022-03-31T14:52:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z41PV1648192956S1,"[{""$oid"":""623d6dbe24b1e928e1da8054""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:41.709Z,0,11.1
0,623d6dd5d9c45a032cbe25f6,0.09,envialia,367,2022-03-25T07:23:01.673Z,0.05,0,2022-03-28T14:35:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6LGE1648192978S1,"[{""$oid"":""623d6dd4d9c45a4c9dbe25f5""}]",null,2022-03-25T15:47:00.000Z,2022-03-25T07:23:02.968Z,0,0.668
0,623d6dd7887bdecd516abf86,0.09,envialia,367,2022-03-25T07:23:03.021Z,0.05,0,2022-03-29T14:54:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6Y9Z1648192980S1,"[{""$oid"":""623d6dd6887bde10d36abf85""}]",null,2022-03-25T15:46:00.000Z,2022-03-25T07:23:04.240Z,0,0.668
0,623d6de324b1e972c9da8059,0.09,posti,1019,2022-03-25T07:23:15.058Z,0.09,0.018,2022-03-26T09:18:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,posti express business day parcel service,null,VK3YDZU1648156800S1,"[{""$oid"":""623d6dda318ff90830f91d52""}]",,2022-03-25T22:07:00.000Z,2022-03-25T07:23:21.893Z,0.018,0.56875
0,623d6e049a24b5304bc4aa5c,0.09,envialia,367,2022-03-25T07:23:48.334Z,0.05,0,2022-03-28T14:49:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6SJQ1648193024S1,"[{""$oid"":""623d6e019a24b5b951c4aa57""},{""$oid"":""623d6e029a24b57f02c4aa59""},{""$oid"":""623d6e039a24b55848c4aa5b""}]",null,2022-03-25T15:27:00.000Z,2022-03-25T07:23:49.640Z,0,2.004
0,623d6e0cc58f3cac7e384e1c,0.09,envialia,367,2022-03-25T07:23:56.707Z,0.05,0,2022-03-28T18:22:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6GDN1648193034S1,"[{""$oid"":""623d6e0bc58f3c7b37384e1b""}]",null,2022-03-25T15:46:00.000Z,2022-03-25T07:23:57.955Z,0,0.668
0,623d6e0e3e430232dc67d220,2.93,seur,258,2022-03-25T07:23:58.855Z,0.09,0,2022-03-28T16:12:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,7ZL3LSC1648114927S1,"[{""$oid"":""623d6e0d3e430280df67d21f""}]",null,2022-03-25T21:55:00.000Z,2022-03-25T07:24:00.166Z,0,0.6666666667
0,623d6e14918f3f16a0d62408,0.09,nacex,794,2022-03-25T07:24:04.315Z,0.07,0,2022-03-31T07:44:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,e-nacex,null,6E2GLMD1648028722S1,"[{""$oid"":""623d6e0c887bde16876abf8b""}]",null,2022-03-25T17:22:00.000Z,2022-03-25T07:24:09.288Z,0,1.167664
0,623d6e383850575598e8dafa,0.09,publicCorreos,1020,2022-03-25T07:24:40.887Z,0.06,0,2022-04-01T10:50:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,nacional domicilio standard,null,L6WMUQZ1647322860R1,"[{""$oid"":""623d6e3838505773dbe8daf9""}]",,2022-03-29T18:54:00.000Z,2022-03-25T07:25:21.091Z,0,0.952568
0,623d6e3b887bdeac346abf92,0.09,envialia,367,2022-03-25T07:24:43.868Z,0.05,0,2022-04-01T12:40:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6WEG1648193081S1,"[{""$oid"":""623d6e3a887bde3ec26abf91""}]",null,2022-03-25T15:46:00.000Z,2022-03-25T07:24:45.179Z,0,0.668
0,623d6e3c9a24b57a03c4aa61,2.93,seur,258,2022-03-25T07:24:44.312Z,0.09,0,2022-03-28T10:56:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,7ZL3D8H1648078201S1,"[{""$oid"":""623d6e3b9a24b5a051c4aa60""}]",null,2022-03-25T21:55:00.000Z,2022-03-25T07:24:45.460Z,0,0.6666666667
