_id,barcode,description,discountPrice,hsCode,name,originalId,packaged,picked,price,quantity,sku,variant,vat,weight
623d64a9f7006f1c9fa751b5,,,9.9,,The Ordinary Pycnogenol 5%,,TRUE,FALSE,9.9,1,190981.7,,0,0.04
623d64a9f7006f6f35a751b2,,,9.9,,The Ordinary Pycnogenol 5%,,TRUE,FALSE,9.9,1,190981.7,,0,0.04
623d64a9f7006fd115a751b3,,,9.9,,The Ordinary Pycnogenol 5%,,TRUE,FALSE,9.9,1,190981.7,,0,0.04
623d64b0f7a949398cd029b8,,,,,Bulbo Agapanthus Umbellatum  1 ud,,TRUE,FALSE,3.95,1,197981,,21,
623d64b0f7a9493abcd029b2,,,,,Semillas de  Pimiento Maor,,TRUE,FALSE,1.45,1,7160,,10,
623d64b0f7a949428fd029b4,,,,,Sustrato Universal (80 L),,TRUE,FALSE,17.95,1,8813,,21,
623d64b0f7a949690cd029b6,,,,,Enraizante Natural Compo,,TRUE,FALSE,8.2,1,20758,,21,
623d64b0f7a9496acfd029b0,,,,,Semillas ecológicas de  Tomate marmande raf,,TRUE,FALSE,1.65,1,6632,,10,
623d64b0f7a94988dad029b5,,,,,Semillas de  Lechuga Trocadero,,TRUE,FALSE,1.45,1,9451,,10,
623d64b0f7a9499edbd029b1,,,,,Semillas de  Pimiento Cristal,,TRUE,FALSE,1.45,1,7114,,10,
623d64b0f7a949e08ad029b7,,,,,Bulbo Lilium asiatic amarillo 2 uds,,TRUE,FALSE,2.75,1,118807,,10,
623d64b0f7a949eaffd029b3,,,,,Semillas de  Calabacín Black Beauty,,TRUE,FALSE,1.45,1,7781,,10,
623d64c7dc974907e7cfa6f5,,,,,Espelta pelada Bio La Finestra Sul Cielo 500 g,,TRUE,FALSE,2.19,1,220439,,4,
623d64c7dc9749160bcfa6f3,,,,,Enzimas digestivas Naturbite 60 comprimidos,,TRUE,FALSE,16.36,1,111822,,10,
623d64c7dc97491db4cfa6f2,,,,," Avena en grano BIO Biogra, 500 gr",,TRUE,FALSE,1.93,1,86915,,4,
623d64c7dc97495e7ccfa6f0,,,,,"Triptófano con Melatonina, Magnesio y Vit B6 Ana María la Justicia, 60 comprimidos",,TRUE,FALSE,14.15,1,85481,,10,
623d64c7dc974985a4cfa6ef,,,,,"Triptófano con Melatonina, Magnesio y Vit B6 Ana María la Justicia, 60 comprimidos",,TRUE,FALSE,14.15,1,85481,,10,
623d64c7dc9749d007cfa6f4,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.45,1,122017,,4,
623d64c7dc9749e766cfa6f1,,,,,"Vitamina B12 Family Veggun, 30 ml",,TRUE,FALSE,16.4,1,86482,,10,
623d650957f54f13b8dcf87f,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f3211dcf87d,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f33a8dcf876,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f3887dcf884,,,,,Pañales Moltex Pure & Nature T4 (9-15 kg)  50 Uds,,TRUE,FALSE,58.32,1,162383,,21,
623d650957f54f69c5dcf879,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f702ddcf875,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f751bdcf877,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f76e7dcf87e,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f7a79dcf87a,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54f8c6edcf882,,,,,Pañales Moltex Pure & Nature T4 (9-15 kg)  50 Uds,,TRUE,FALSE,58.32,1,162383,,21,
623d650957f54fb86edcf87b,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54fb896dcf87c,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54fc267dcf880,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d650957f54fdd1fdcf881,,,,,Pañales Moltex Pure & Nature T4 (9-15 kg)  50 Uds,,TRUE,FALSE,58.32,1,162383,,21,
623d650957f54fede4dcf883,,,,,Pañales Moltex Pure & Nature T4 (9-15 kg)  50 Uds,,TRUE,FALSE,58.32,1,162383,,21,
623d650957f54ff4f6dcf878,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,28.9,1,26480,,21,
623d651ff3909fee4fa5dc2b,,,36.33,,GO WALK JOY,,TRUE,FALSE,0,1,124187_BKW_11,,20,0.5
623d65232ff9d81853df8506,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d82e60df84fe,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d83150df84ff,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d84785df8505,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d84866df8504,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d85071df8500,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d8546cdf84fd,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d87346df8501,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d8d480df8502,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d65232ff9d8e025df8503,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d653824b1e90005da7dab,XXXXXXXXXXXXX,Small household appliances,,,05004 - CONGA 8090 ULTRA - 1 unidad,,TRUE,FALSE,0,1,PACK5-1,,0.21,0
623d653824b1e96395da7daa,XXXXXXXXXXXXX,Small household appliances,,,05665 - Base de autovaciado CONGA COL 10000 - 1 unidad,,TRUE,FALSE,0,1,PACK5-0,,0.21,8.98
623d653833894f11f89d98bb,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d653833894fd2829d98ba,XXXXXXXXXXXXX,Small household appliances,,,07026 - Patinete eléctrico Bongo Serie A Connected - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,16
623d653fd4e48100e83c3942,,,,,Semilleros con bandeja 24 compartimentos 3 unidades,,TRUE,FALSE,10.95,1,119439,,21,
623d653fd4e48136193c3940,,,,,Champú sólido reparador Amla y germen de trigo Inuit 90 g,,TRUE,FALSE,7.04,1,109278,,21,
623d653fd4e48151123c393a,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,10.84,1,26480,,21,
623d653fd4e4815a323c393f,,,,,Pasta cicatrizante Master (250 g),,TRUE,FALSE,6.25,1,81520,,21,
623d653fd4e4815b373c393e,,,,,"Box Combi Jabón Equilibrante, Regenerante, Equilibrante y Antiacné Inuit, 100 g ",,TRUE,FALSE,8.3,1,54766,,21,
623d653fd4e48161983c393b,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,10.84,1,26480,,21,
623d653fd4e48172c33c3943,,,,,Pañales T3 4-10 kg Chelino Nature 36 uds,,TRUE,FALSE,7.1,1,156626,,21,
623d653fd4e48175183c3939,,,,,Semillero propagador pequeño,,TRUE,FALSE,17.85,1,7222,,21,
623d653fd4e4817b6b3c393d,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,10.84,1,26480,,21,
623d653fd4e481a1273c3945,,,,,COMPO SANA Hortensias y Azaleas 20 L,,TRUE,FALSE,6.45,1,215261,,21,
623d653fd4e481cd5b3c3941,,,,,Champú sólido Anticaspa Neem y Romero Inuit 90 g,,TRUE,FALSE,7.99,1,115744,,21,
623d653fd4e481e4bd3c393c,,,,,Toallitas húmedas Pingo (1 x 80 toallitas),,TRUE,FALSE,10.84,1,26480,,21,
623d653fd4e481eb023c3944,,,,,Pañales T3 (4-9kg) Pingo 44 Uds,,TRUE,FALSE,12.65,1,209344,,21,
623d6542887bde589e6abeba,XXXXXXXXXXXXX,Small household appliances,,,05680 - Conga Rockstar 2000 Ultimate ErgoWet - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,5.87
623d6542887bdeb0006abebb,XXXXXXXXXXXXX,Small household appliances,,,05680 - Conga Rockstar 2000 Ultimate ErgoWet - 1 unidad,,TRUE,FALSE,0,1,PACK5,,0.21,5.87
623d654ce88d8b13d03d70c8,XXXXXXXXXXXXX,Small household appliances,,,05416 - Robot aspirador Conga 3490 Force (nombre provisional) - 1 unidad,,TRUE,FALSE,0,1,PACK5-0,,0.21,0
623d654ce88d8bd9913d70c9,XXXXXXXXXXXXX,Small household appliances,,,05665 - Base de autovaciado CONGA COL 10000 - 1 unidad,,TRUE,FALSE,0,1,PACK5-1,,0.21,8.98
623d6554318ff90266f91c5f,,,,,Pipas de Calabaza Biográ (500 gramos),,TRUE,FALSE,6.13,1,112190,,4,
623d6554318ff902abf91c5d,,,,,"Bebida vegetal de coco sin azúcar, sin gluten y sin lactosa EcoMil 1L",,TRUE,FALSE,12.71,1,15814,,10,
623d6554318ff90b9bf91c5c,,,,,"Bebida vegetal de coco sin azúcar, sin gluten y sin lactosa EcoMil 1L",,TRUE,FALSE,12.71,1,15814,,10,
623d6554318ff90d3ff91c5e,,,,,"Bebida vegetal de coco sin azúcar, sin gluten y sin lactosa EcoMil 1L",,TRUE,FALSE,12.71,1,15814,,10,
623d6554318ff91646f91c63,,,,,Sésamo integral ECO Planeta Huerto 500 g,,TRUE,FALSE,5.28,1,122016,,10,
623d6554318ff91680f91c6d,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff91d14f91c5b,,,,,"Bebida vegetal de coco sin azúcar, sin gluten y sin lactosa EcoMil 1L",,TRUE,FALSE,12.71,1,15814,,10,
623d6554318ff92e3ef91c5a,,,,,"Bebida vegetal de coco sin azúcar, sin gluten y sin lactosa EcoMil 1L",,TRUE,FALSE,12.71,1,15814,,10,
623d6554318ff936ddf91c68,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff93b31f91c6b,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff93f17f91c6f,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff9435cf91c6e,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
